Source,Target,Type,Distance,Voltage,Lines
108,109,Undirected,48.8419351526,66,2
108,111,Undirected,45.11,66,1
108,113,Undirected,103.33,154,1
108,114,Undirected,116.78,154,1
108,217,Undirected,588.268065778,66,2
109,111,Undirected,14.3,66,1
109,110,Undirected,2.9,66,1
109,201,Undirected,18.82,66,1
109,214,Undirected,24.15,66,1
109,217,Undirected,145.883711656,66,2
110,111,Undirected,13.54,66,1
111,126,Undirected,42.48,154,1
111,112,Undirected,26.8,66,1
112,210,Undirected,9.1,66,1
112,205,Undirected,7,66,1
113,114,Undirected,13.44,154,1
114,115,Undirected,3.47,154,2
116,197,Undirected,514.868468749,154,1
116,127,Undirected,919903.116673,154,1
116,128,Undirected,5430.3607832,154,1
116,129,Undirected,133.380267647,154,1
116,131,Undirected,55.43,66,1
116,132,Undirected,23.91,66,1
116,133,Undirected,538141616325,220,3
116,134,Undirected,138186610170000,220,3
116,135,Undirected,76.2,220,1
116,137,Undirected,84,220,1
116,218,Undirected,4115.625,220,2
116,138,Undirected,7962526155.6,220,3
116,139,Undirected,31557817.0583,220,3
116,146,Undirected,74.3,220,2
116,147,Undirected,0.1,220,1
116,148,Undirected,0.1,220,1
116,149,Undirected,26.25,220,1
116,150,Undirected,3718.96728667,154,1
116,151,Undirected,82.1297794544,220,1
116,153,Undirected,146.333333333,220,2
116,154,Undirected,44,220,1
116,155,Undirected,55.6,220,1
116,158,Undirected,68.17,220,2
116,159,Undirected,38.49424,220,1
116,160,Undirected,43.09,154,1
116,161,Undirected,84.54,154,1
116,162,Undirected,115890.537324,220,1
116,163,Undirected,517.17750644,154,1
116,164,Undirected,1692.7413948,154,1
116,167,Undirected,405.487078652,220,1
116,168,Undirected,118.401708945,220,1
116,169,Undirected,52392.7562081,220,1
117,118,Undirected,32.0444600281,220,2
117,119,Undirected,49.6689130435,220,2
118,119,Undirected,49.046940966,220,2
121,122,Undirected,7.58,66,1
123,124,Undirected,0.1,66,1
124,125,Undirected,18,66,1
124,201,Undirected,75.13,66,1
126,201,Undirected,88.4,66,1
126,127,Undirected,18.3723499796,66,1
127,128,Undirected,697912.162657,154,1
127,129,Undirected,17142.0859065,154,1
127,131,Undirected,83354.9760219,154,1
128,129,Undirected,101.192951042,154,1
128,131,Undirected,492.060070968,154,1
129,130,Undirected,37.1,66,1
129,131,Undirected,12.0859564556,154,1
133,134,Undirected,74489434937.3,220,3
133,138,Undirected,4292196.42393,220,3
133,139,Undirected,17011.2282054,220,3
134,135,Undirected,5.49,154,2
134,208,Undirected,0.1,66,1
134,138,Undirected,1102170982.53,220,3
134,139,Undirected,4368225.5548,220,3
135,137,Undirected,25.62,220,1
135,142,Undirected,8.99,154,1
135,136,Undirected,0.1,154,1
137,140,Undirected,3.45,154,1
137,141,Undirected,7.81770114943,154,1
137,142,Undirected,680.14,154,1
138,139,Undirected,251.703911044,220,3
138,140,Undirected,1.905,154,2
138,144,Undirected,27.1,66,2
141,142,Undirected,8.91402359109,154,1
143,144,Undirected,0.78,66,1
144,145,Undirected,0.1,66,1
144,216,Undirected,79.895,66,1
149,150,Undirected,104.53,220,1
150,151,Undirected,151.606610242,220,1
150,163,Undirected,1029.87728555,154,1
150,164,Undirected,3370.82701994,154,1
150,197,Undirected,1025.27920184,154,1
151,152,Undirected,17.5,220,2
153,218,Undirected,9.34042553191,220,2
154,155,Undirected,11.6,220,1
155,156,Undirected,26,220,1
156,157,Undirected,10.5,220,1
158,171,Undirected,136.22,220,2
158,167,Undirected,3,220,2
158,170,Undirected,41.6,220,2
159,167,Undirected,381.887301587,220,1
162,168,Undirected,98.2833127174,220,1
162,169,Undirected,43490.3658774,220,1
163,197,Undirected,142.580264933,154,1
163,164,Undirected,468.763443837,154,1
164,197,Undirected,466.670559969,154,1
164,165,Undirected,0.8,66,1
164,166,Undirected,11.9,66,1
166,167,Undirected,10.9,66,1
167,175,Undirected,138.1425,66,4
168,169,Undirected,44.4327359371,220,1
171,172,Undirected,152,220,1
171,173,Undirected,118.38,220,1
172,173,Undirected,36.38,220,1
172,175,Undirected,4.45986278806E+019,220,3
172,176,Undirected,0.1,66,2
172,177,Undirected,0.1,220,1
172,178,Undirected,4.08866618631E+019,220,3
172,179,Undirected,200.700273473,220,1
172,180,Undirected,9.24899103684E+018,220,3
172,181,Undirected,1.27611881645E+016,220,3
172,182,Undirected,8.01208775898E+016,220,3
172,183,Undirected,1373716212500000,220,3
172,184,Undirected,1373716212500000,220,3
172,185,Undirected,157648328958,220,3
172,186,Undirected,168175957937,220,3
172,207,Undirected,20676625267.2,220,3
173,174,Undirected,1.8,220,1
175,178,Undirected,7.28559853642E+019,220,3
175,180,Undirected,1.64807867629E+019,220,3
175,207,Undirected,36843700101.8,220,3
175,181,Undirected,2.27391744832E+016,220,3
175,182,Undirected,1.42767475237E+017,220,3
175,183,Undirected,2447826350010000,220,3
175,184,Undirected,2447826350010000,220,3
175,185,Undirected,280913721588,220,3
175,186,Undirected,299672914631,220,3
178,180,Undirected,1.51090826699E+019,220,3
178,207,Undirected,33777180586.9,220,3
178,181,Undirected,2.08465816624E+016,220,3
178,182,Undirected,1.30884867146E+017,220,3
178,183,Undirected,2.2440925434E+015,220,3
178,184,Undirected,2.2440925434E+015,220,3
178,185,Undirected,257533132590,220,3
178,186,Undirected,274730988650,220,3
179,180,Undirected,204.617286245,220,1
180,207,Undirected,7640751928.91,220,3
180,181,Undirected,4715715056160000,220,3
180,182,Undirected,2.96075274412E+016,220,3
180,183,Undirected,507637231163000,220,3
180,184,Undirected,507637231163000,220,3
180,185,Undirected,58256691215.9,220,3
180,186,Undirected,62147026335.1,220,3
180,191,Undirected,59.6,220,2
181,207,Undirected,10542238.8988,220,3
181,182,Undirected,40850642762900,220,3
181,183,Undirected,700406584933,220,3
181,184,Undirected,700406584933,220,3
181,185,Undirected,80378994.3667,220,3
181,186,Undirected,85746639.1489,220,3
182,207,Undirected,66189246.757,220,3
182,183,Undirected,4397489444640,220,3
182,184,Undirected,4397489444640,220,3
182,185,Undirected,504657989.948,220,3
182,186,Undirected,538358645.796,220,3
183,207,Undirected,1134850.79168,220,3
183,184,Undirected,75397358667.6,220,3
183,185,Undirected,8652636.90831,220,3
183,186,Undirected,9230453.06188,220,3
184,207,Undirected,1134850.79168,220,3
184,185,Undirected,8652636.90831,220,3
184,186,Undirected,9230453.06188,220,3
185,207,Undirected,130.236019127,220,3
185,186,Undirected,1059.29120403,220,3
186,192,Undirected,32.65,110,1
186,196,Undirected,32.78,110,1
186,207,Undirected,138.933076039,220,3
186,187,Undirected,0.2,220,1
187,188,Undirected,0.1,66,1
189,190,Undirected,57.29,110,1
190,196,Undirected,25.96,110,1
200,206,Undirected,3429.51744468,110,2
